Hero_Role,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Anti-Mage_mid,1.9747425e-24,-2.0899201e-24,6.985778e-25,1.4589323e-24,4.2272453e-24,6.28898e-25,2.2791268e-24,-8.905303e-26,-2.5288812e-25,-2.5503956e-24,-1.1347272e-24,1.9744478e-24,-8.1063983e-25,-2.5594876e-24,2.8226147e-24,9.185678e-25
Anti-Mage_offlane,-8.98352e-24,-3.3465183e-25,-9.917074e-25,-9.22181e-25,-4.367848e-25,1.6408418e-25,-1.6815896e-25,-1.5275218e-24,-4.8419474e-24,1.2340283e-24,-1.2085761e-24,1.1505646e-24,5.7849394e-25,1.0550787e-24,-1.1741546e-25,-3.1514642e-24
Anti-Mage_softsup,1.9606159e-25,-1.8783599e-24,-1.1877628e-24,-7.2586425e-25,2.2353187e-26,3.3018764e-25,5.2044733e-25,4.3940213e-25,-2.069591e-25,-2.750683e-25,1.5832642e-24,5.175457e-24,-8.5894873e-26,1.8726818e-24,-2.6626038e-25,-1.2521166e-24
Anti-Mage_hardsup,-3.493955e-24,-5.341644e-24,1.2210508e-25,-1.8359542e-25,2.3960001e-24,-1.4325052e-24,3.993994e-24,1.7402774e-25,-3.3022674e-25,-4.6957576e-25,-1.2719262e-24,1.3417828e-24,-2.2407292e-24,2.7069266e-25,3.1563555e-24,-8.004823e-25
Anti-Mage_carry,-0.006576184,0.0021494506,-0.00056355493,-0.0012362289,-0.0025140438,-0.00018475423,0.0015799311,0.009545035,0.006453967,-0.00090848585,-0.007401763,-0.0009029992,0.0011496788,0.0004866809,-0.003527651,0.0023356436
Axe_mid,2.3467066e-24,1.2836974e-24,1.8250953e-25,1.5969518e-25,5.5109866e-24,1.3294696e-24,2.0256554e-24,-1.2660494e-24,8.4619334e-26,1.9261768e-25,-2.4525938e-24,2.8076664e-24,3.2162206e-24,3.9276915e-24,4.3898934e-24,-1.1464498e-24
Axe_offlane,0.00072773045,-0.005462135,-0.001040839,0.0046826364,0.0010567997,0.0051894304,0.0038625987,-0.006468074,0.002581826,-0.0007081874,-0.003174685,-0.0027330653,-0.0037095633,0.0010055214,0.0045392197,0.004985754
Axe_softsup,-1.0737097e-25,3.340228e-24,-2.9159997e-24,-3.2237262e-24,3.1779504e-24,4.699975e-25,9.202203e-25,-8.965629e-25,5.841244e-25,1.3974995e-24,-6.556504e-25,-3.385217e-24,-1.5775388e-24,-2.0007903e-24,-6.1606433e-25,5.890525e-25
Axe_hardsup,7.441666e-25,1.0797463e-25,1.5654584e-24,1.8075306e-25,1.3733638e-24,2.6666926e-24,9.430795e-25,5.28398e-24,-7.02879e-26,1.600445e-25,-4.731743e-24,1.0989567e-25,-8.702748e-25,-3.2706518e-24,3.836149e-24,2.2225882e-24
Axe_carry,-4.5195813e-25,-1.958436e-25,3.3960415e-24,-3.4473577e-24,3.0319064e-24,-1.5857957e-24,-3.6143942e-24,-2.1922652e-25,4.27841e-25,3.199602e-24,-1.5431385e-24,-6.92426e-25,4.6449653e-24,-3.970707e-24,2.2226718e-25,-3.2815511e-24
Bane_mid,-3.5588166e-24,1.0187893e-24,-1.3526156e-24,2.1776568e-24,-3.1230037e-25,-2.9562728e-24,-2.438815e-24,5.1821164e-24,3.183305e-24,3.4060284e-24,2.8535495e-25,3.6658258e-25,-2.8381283e-24,-1.728236e-24,4.587133e-24,-8.847335e-25
Bane_offlane,1.7756289e-24,-6.61088e-25,3.980333e-24,5.3257045e-25,-5.5676595e-26,1.183447e-24,-1.3573628e-24,5.3434125e-25,6.08271e-25,-3.941859e-25,-8.0912114e-24,3.6419917e-24,2.1463594e-24,7.190252e-25,-1.4233354e-24,-6.5425856e-26
Bane_softsup,6.726219e-26,5.645609e-25,-8.0824953e-25,-9.094958e-25,2.7859404e-24,9.502114e-25,5.9946676e-24,2.6815757e-24,8.709322e-25,-6.491702e-25,-1.9612035e-24,-5.1207285e-24,-3.6568176e-24,2.6834188e-24,7.240064e-25,1.5256239e-24
Bane_hardsup,0.0009283427,0.0013396642,-0.0073053786,-0.00042326655,-0.0074804896,-0.00076163886,-0.003316892,0.0061367285,0.002613507,0.0038154258,-0.007067748,-0.004533337,0.00036233623,-0.0059292605,-0.001937492,0.0029622493
