Hero_Name,Position1,Position2,Position3,Position4,Position5
Anti-Mage,0.0,0.0,0.0,0.0,-0.025922896
Axe,0.0,-0.06518743,0.0,0.0,0.0
Bane,0.0,0.0,0.0,0.073784105,0.0
Bloodseeker,0.0,0.0,0.0,0.0,0.050458033
Crystal Maiden,0.0,0.0,0.0,0.011576597,0.0
Drow Ranger,0.0,0.008663356,0.0,0.0,0.0
Earthshaker,-0.07559203,-0.07579646,-0.07385683,0.0,0.0
Juggernaut,0.0,0.0,0.0,0.0,0.046707116
Mirana,-0.0019290469,0.0,-0.0047761155,-0.0019904946,0.0
Morphling,0.0,0.0,0.0,0.0,-0.11381791
Shadow Fiend,-0.0006163224,0.0,0.0,0.0,-0.0005959561
Phantom Lancer,0.0,0.0,0.0,0.0,0.018736504
Puck,-0.0062026302,0.0,0.0,0.0,0.0
Pudge,0.0,0.0,0.046163287,0.0,0.0
Razor,0.0816354,0.08495691,0.0,0.0,0.0
Sand King,0.0,-0.031256627,0.0,0.0,0.0
Storm Spirit,-0.040660087,0.0,0.0,0.0,0.0
Sven,0.0,0.0,0.0,0.0,-0.042616647
Tiny,-0.092949316,0.0,-0.09315557,0.0,0.0
Vengeful Spirit,0.0,0.04380818,0.051057223,0.05039375,0.0
Windranger,0.0,-0.04452184,-0.04425834,0.0,0.0
Zeus,-0.052978847,0.0,0.0,-0.053805813,0.0
Kunkka,-0.05695231,0.0,0.0,0.0,-0.050301135
Lina,-0.01790809,0.0,0.0,0.0,0.0
Lion,0.0,0.0,0.038930256,0.039836854,0.0
Shadow Shaman,0.0,0.0,0.05253468,0.05470714,0.0
Slardar,0.0,-0.06430338,0.0,0.0,0.0
Tidehunter,-0.0038269109,-0.004303165,0.0,0.0,0.0
Witch Doctor,0.0,0.0,0.0,-0.0017388484,0.0
Lich,0.0,0.0,0.0,0.088751614,0.0
Riki,0.002089026,-0.00015850144,0.0,0.0,0.0
Enigma,0.0,0.22350062,0.0,0.0,0.0
Tinker,0.03059735,0.0,0.0,0.0,0.0
Sniper,-0.12658222,0.0,-0.11648925,0.0,0.0
Necrophos,-0.05495532,-0.049709428,0.0,0.0,-0.049298707
Warlock,0.0,0.0,0.0,-0.09397105,0.0
Beastmaster,-0.053312313,0.0,0.0,0.0,-0.048611667
Queen of Pain,0.0,-0.018672977,-0.018976921,0.0,-0.018497882
Venomancer,0.0,0.0,0.056690488,0.0,0.0
Faceless Void,0.0,0.0015038629,0.0,0.0,0.0
Wraith King,0.0,-0.009474942,0.0,0.0,-0.0099318195
Death Prophet,0.0019658643,0.0,5.2969837e-05,0.0,0.0
Phantom Assassin,0.0,0.0,0.0,0.0,-0.10675864
Pugna,0.0,0.0,0.029065892,0.034703337,0.0
Templar Assassin,0.0,0.0,0.0,0.0,-0.044525202
Viper,0.0,-0.0075942283,0.0,0.0,-0.0070281113
